	Unnamed: 0	title	link_to_tools	tag	views	citations_amount	altmetric_score	journal	authors	topics	abstract	date	citations_link	link	doi	references	all_links	altmetric_link	year	name_tool	homepage	info
6	6	QuickGO: a user tutorial for the web-based Gene Ontology browser	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	TUTORIAL	52	4.0	0	Database Oxford	Rachael P. Huntley,David Binns,Emily Dimmer,Daniel Barrell,Claire O’Donovan,Rolf Apweiler	NULL	The Gene Ontology (GO) has proven to be a valuable resource for functional annotation of gene products. At well over 27 000 terms, the descriptiveness of GO has increased rapidly in line with the biological data it represents. Therefore, it is vital to be able to easily and quickly mine the functional information that has been made available through these GO terms being associated with gene products. QuickGO is a fast, web-based tool for browsing the GO and all associated GO annotations provided by the GOA group. After undergoing a redevelopment, QuickGO is now able to offer many more features beyond simple browsing. Users have responded well to the new tool and given very positive feedback about its usefulness. This tutorial will demonstrate how some of these features could be useful to the researcher wanting to discover more about their dataset, particular areas of biology or to find new ways of directing their research.Database URL:http://www.ebi.ac.uk/QuickGO	2009-09-29	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000208191300010&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/database/article/356393/QuickGO-a-user-tutorial-for-the-web-based-Gene	10.1093/database/bap010	18158299,19033274,16507094,16755502,18728045,18426554,16900125,15980438,19131956,18039703,18045787,18669619,18058819,18284697,18568404,19014467,19130232,19250922,17056297,18353293,19193869	http://www.ebi.ac.uk/QuickGO,http://www.ebi.ac.uk/GOA/,http://www.ebi.ac.uk/QuickGO/GProtein?ac=P04637,http://www.geneontology.org/,http://www.geneontology.org/GO.tools.browsers.shtml,http://www.informatics.jax.org/searches/GO_form.shtml,http://amigo.geneontology.org/cgi-bin/amigo/go.cgi,http://www.ebi.ac.uk/ontology-lookup/,http://gdm.fmrp.usp.br/cgi-bin/gc/upload/upload.pl,http://mcbc.usm.edu/gofetcher/home.php,http://mor.nlm.nih.gov/perl/gennav.pl,http://eagl.unige.ch/GOCat/,http://www.ebi.ac.uk/Rebholz-srv/ebimed/index.jsp,http://www.ebi.ac.uk/Tools/InterProScan/,http://david.abcc.ncifcrf.gov/,http://pfam.sanger.ac.uk/,http://www.uniprot.org/,http://www.proteinatlas.org/,http://www.ebi.ac.uk/QuickGO/,http://www.ebi.ac.uk/QuickGO/,http://www.ebi.ac.uk/QuickGO/GAnnotation,http://www.ebi.ac.uk/QuickGO/GAnnotation,http://www.ebi.ac.uk/QuickGO/GAnnotation,http://www.ebi.ac.uk/QuickGO/reference.html#advanced_annotation,http://www.ebi.ac.uk/QuickGO/GAnnotation,http://www.ebi.ac.uk/GOA/,http://www.ebi.ac.uk/QuickGO/tutorial.html,http://www.ebi.ac.uk/QuickGO/FAQs.html,http://www.geneontology.org/,http://www.geneontology.org/GO.evidence.shtml,http://www.geneontology.org/GO.tools.shtml	NULL	NULL	QuickGO	http://www.ebi.ac.uk/QuickGO	NULL
11	11	CancerMA: a web-based tool for automatic meta-analysis of public cancer microarray data	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	31	3.0	3	Database Oxford	Julia Feichtinger,Ramsay J. McFarlane,Lee D. Larcombe	NULL	The identification of novel candidate markers is a key challenge in the development of cancer therapies. This can be facilitated by putting accessible and automated approaches analysing the current wealth of ‘omic’-scale data in the hands of researchers who are directly addressing biological questions. Data integration techniques and standardized, automated, high-throughput analyses are needed to manage the data available as well as to help narrow down the excessive number of target gene possibilities presented by modern databases and system-level resources. Here we present CancerMA, an online, integrated bioinformatic pipeline for automated identification of novel candidate cancer markers/targets; it operates by means of meta-analysing expression profiles of user-defined sets of biologically significant and related genes across a manually curated database of 80 publicly available cancer microarray datasets covering 13 cancer types. A simple-to-use web interface allows bioinformaticians and non-bioinformaticians alike to initiate new analyses as well as to view and retrieve the meta-analysis results. The functionality of CancerMA is shown by means of two validation datasets.Database URL:http://www.cancerma.org.uk	2012-12-15	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000316115700001&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/database/article/440957/CancerMA-a-web-based-tool-for-automatic-meta	10.1093/database/bas055	15286780,21071405,21097893,14550631,20678237,10070677,21624134,21470421,22918178,16076888,12490442,14960456,20929869,21044364,21605215,17098774,19541911,11408310,15461798,15036884,11358798,16489176,10945597,22064247,12670919,19903768,15249585,11923519,19771275,15172991,19962668,15095482,17651921,20730571,15578711,14581349,8094291,15305371,11103784,14996741,17211480,18483093,15578687,15558012,11099028,20698961,17932051,17356713,22782548,18803840,19956698,19628502,16982708,17900369	http://www.cancerma.org.uk,http://www.cancerma.org.uk/information.html,http://www.affymetrix.com/support/technical/annotationfilesmain.affx,http://www.cancerma.org.uk,http://www.mysql.com,http://twitter.github.com/bootstrap/,http://jquery.com/,http://www.perl.org,http://www.cran.r-project.org,http://www.bioconductor.org,http://www.perl.org,http://www.cancerma.org.uk,http://www.cancerma.org.uk/help.html,http://www.ebi.ac.uk/gxa/	https://badges.altmetric.com/?size=128&score=3&types=tttttttt	NULL	CancerMA	http://www.cancerma.org.uk	NULL
12	12	RefPrimeCouch—a reference gene primer CouchApp	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	ORIGINAL ARTICLE	6	0.0	0	Database Oxford	Jascha Silbermann,Catrin Wernicke,Heike Pospisil,Marcus Frohme	NULL	To support a quantitative real-time polymerase chain reaction standardization project, a new reference gene database application was required. The new database application was built with the explicit goal of simplifying not only the development process but also making the user interface more responsive and intuitive. To this end, CouchDB was used as the backend with a lightweight dynamic user interface implemented client-side as a one-page web application. Data entry and curation processes were streamlined using an OpenRefine-based workflow. The new RefPrimeCouch database application provides its data online under an Open Database License.Database URL:http://hpclife.th-wildau.de:5984/rpc/_design/rpc/view.html	2013-12-24	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbat081%2f2871256%2fRefPrimeCouch-a-reference-gene-primer-CouchApp	https://academic.oup.com/database/article/2871256/RefPrimeCouch-a-reference-gene-primer-CouchApp	10.1093/database/bat081	12519963,19223324,19246619,23161694	http://hpclife.th-wildau.de:5984/rpc/_design/rpc/view.html,http://hpclife.th-wildau.de:5984/rpc/_design/rpc/view.html,http://hpclife.th-wildau.de:5984/rpc/,http://hpclife.th-wildau.de:5984/rpc/ATP5B,http://agilemanifesto.org/,http://www.ietf.org/rfc/rfc4627.txt,http://opendatacommons.org/licenses/odbl,http://html5reset.org/,http://www.ecma-international.org/publications/files/ECMA-ST/Ecma-262.pdf,http://jquery.org/,http://www.ibm.com/developerworks/opensource/tutorials/os-couchapp/,http://couchdb.apache.org/,http://research.google.com/archive/mapreduce.html,http://openrefine.org/,http://spinejs.com/,http://twitter.github.io/bootstrap/,http://backbonejs.org/	NULL	NULL	CouchApp	http://www.ibm.com/developerworks/opensource/tutorials/os-couchapp/	NULL
13	13	DCDB 2.0: a major update of the drug combination database	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE UPDATE	96	5.0	1	Database Oxford	Yanbin Liu,Qiang Wei,Guisheng Yu,Wanxia Gai,Yongquan Li,Xin Chen	NULL	Experience in clinical practice and research in systems pharmacology suggested the limitations of the current one-drug-one-target paradigm in new drug discovery. Single-target drugs may not always produce desired physiological effects on the entire biological system, even if they have successfully regulated the activities of their designated targets. On the other hand, multicomponent therapy, in which two or more agents simultaneously interact with multiple targets, has attracted growing attention. Many drug combinations consisting of multiple agents have already entered clinical practice, especially in treating complex and refractory diseases. Drug combination database (DCDB), launched in 2010, is the first available database that collects and organizes information on drug combinations, with an aim to facilitate systems-oriented new drug discovery. Here, we report the second major release of DCDB (Version 2.0), which includes 866 new drug combinations (1363 in total), consisting of 904 distinctive components. These drug combinations are curated from ∼140 000 clinical studies and the food and drug administration (FDA) electronic orange book. In this update, DCDB collects 237 unsuccessful drug combinations, which may provide a contrast for systematic discovery of the patterns in successful drug combinations.Database URL:http://www.cls.zju.edu.cn/dcdb/	2014-12-23	http://gateway.webofknowledge.com/gateway/Gateway.cgi?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS:000346841100001&DestLinkType=RelatedRecords&DestApp=ALL_WOS&UsrCustomerID=61f30d8ae69c46f86624c5f98a3bc13a	https://academic.oup.com/database/article/2635579/DCDB-2-0-a-major-update-of-the-drug-combination	10.1093/database/bau124	21059682,15286737,19345021,12730581,20140234,23907796,22877768,22905152,24214961,25168772,21948793,21447597,14681409,24243840,24234451,23782618,19180105,6968746,7586947,12657721,23963360,24107779,23695170,24612502,19169686,23050968,22368688,17426060,24211163,17538086,21664867,23879405,24931988,24065146,20068163,23555229	http://www.cls.zju.edu.cn/dcdb/,http://www.cls.zju.edu.cn/dcdb/	https://badges.altmetric.com/?size=128&score=1&types=tttttttt	NULL	DCDB	http://www.cls.zju.edu.cn/dcdb/	database
15	15	ToxReporter: viewing the genome through the eyes of a toxicologist	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	64	0.0	1	Database Oxford	Mark Gosink	NULL	One of the many roles of a toxicologist is to determine if an observed adverse event (AE) is related to a previously unrecognized function of a given gene/protein. Towards that end, he or she will search a variety of public and propriety databases for information linking that protein to the observed AE. However, these databases tend to present all available information about a protein, which can be overwhelming, limiting the ability to find information about the specific toxicity being investigated. ToxReporter compiles information from a broad selection of resources and limits display of the information to user-selected areas of interest. ToxReporter is a PERL-based web-application which utilizes a MySQL database to streamline this process by categorizing public and proprietary domain-derived information into predefined safety categories according to a customizable lexicon. Users can view gene information that is ‘red-flagged’ according to the safety issue under investigation. ToxReporter also uses a scoring system based on relative counts of the red-flags to rank all genes for the amount of information pertaining to each safety issue and to display their scored ranking as an easily interpretable ‘Tox-At-A-Glance’ chart. Although ToxReporter was originally developed to display safety information, its flexible design could easily be adapted to display disease information as well.Database URL:ToxReporter is freely available athttps://github.com/mgosink/ToxReporter.	2016-10-02	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbaw141%2f2549238%2fToxReporter-viewing-the-genome-through-the-eyes-of	https://academic.oup.com/database/article/2549238/ToxReporter-viewing-the-genome-through-the-eyes-of	10.1093/database/baw141	24481293,26615191,25428369,26578600,15075390,15118671,24316577,22194743,25326323,24203711,10090336,12050272,26313897,23847053	https://github.com/mgosink/ToxReporter,http://www.mysql.com/,https://github.com/mgosink/ToxReporter,http://www.qiagen.com/ingenuity,http://evs.gs.washington.edu/EVS/	https://badges.altmetric.com/?size=128&score=1&types=tttttttt	NULL	ToxReporter	https://github.com/mgosink/ToxReporter	NULL
18	18	PigVar: a database of pig variations and positive selection signatures	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	ORIGINAL ARTICLE	132	0.0	0	Database Oxford	Zhong-Yin Zhou,Aimin Li,Newton O. Otecko,Yan-Hu Liu,David M. Irwin,Lu Wang,Adeniyi C. Adeola,Junying Zhang,Hai-Bing Xie,Ya-Ping Zhang	NULL	Pigs are excellent large-animal models for medical research and a promising organ donor source for transplant patients. Next-generation sequencing technology has yielded a dramatic increase in the volume of genomic data for pigs. However, the limited amount of variation data provided by dbSNP, and non-congruent criteria used for calling variation, present considerable hindrances to the utility of this data. We used a uniform pipeline, based on GATK, to identify non-redundant, high-quality, whole-genome SNPs from 280 pigs and 6 outgroup species. A total of 64.6 million SNPs were identified in 280 pigs and 36.8 million in the outgroups. We then used LUMPY to identify a total of 7 236 813 structural variations (SVs) in 211 pigs. Positively selected loci were identified through five statistical tests of different evolutionary attributes of the SNPs. Combining the non-redundant variations and the evolutionary selective scores, we built the first pig-specific variation database, PigVar (http://www.ibiomedical.net/pigvar/), which is a web-based open-access resource. PigVar collects parameters of the variations including summary lists of the locations of the variations within protein-coding and long intergenic non-coding RNA (lincRNA) genes, whether the SNPs are synonymous or non-synonymous, their ancestral and derived states, geographic sampling locations, as well as breed information. The PigVar database will be kept operational and updated to facilitate medical research using the pig as model and agricultural research including pig breeding.Database URL:http://www.ibiomedical.net/pigvar/	2017-06-13	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbax048%2f3867746%2fPigVar-a-database-of-pig-variations-and-positive	https://academic.oup.com/database/article/3867746/PigVar-a-database-of-pig-variations-and-positive	10.1093/database/bax048	14970822,25105366,25387017,24973446,26456528,27045379,24162736,23637623,14574411,17416745,21573137,23151582,25621459,23829399,20179735,19148282,2513255,20086244,25885114,26117497,15761152,19451168,20644199,21478889,24891613,24970577,17943131,12368253,23354050,18203910,20056855,16494531	http://www.ibiomedical.net/pigvar/,http://www.ibiomedical.net/pigvar/,http://ftp://ftp.ncbi.nlm.nih.gov/snp/,http://broadinstitute.github.io/picard/,http://ftp://ftp.ncbi.nlm.nih.gov/snp/,http://ftp://ftp.ensembl.org/pub/release-80/gtf/sus_scrofa,http://www.ebi.ac.uk/gwas/,https://genome.ucsc.edu/cgi-bin/hgLiftOver,http://www.mysql.com	NULL	NULL	PigVar	http://www.ibiomedical.net/pigvar/	database
19	19	LeishDB: a database of coding gene annotation and non-coding RNAs inLeishmania braziliensis	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	85	0.0	2	Database Oxford	Felipe Torres,Raúl Arias-Carrasco,José C. Caris-Maldonado,Aldina Barral,Vinicius Maracaja-Coutinho,Artur T. L. De Queiroz	NULL	Leishmania braziliensisis the etiological agent of cutaneous leishmaniasis, a disease with high public health importance, affecting 12 million people worldwide. Although its genome sequence was originally published in 2007, the two reference public annotations still presents at least 80% of the genes simply classified as hypothetical or putative proteins. Furthermore, it is notable the absence of non-coding RNA (ncRNA) sequences fromLeishmaniaspecies in public databases. These poorly annotated coding genes and ncRNAs could be important players for the understanding of this protozoan biology, the mechanisms behind host-parasite interactions and disease control. Herein, we performed a new prediction and annotation ofL. braziliensisprotein-coding genes and non-coding RNAs, using recently developed predictive algorithms and updated databases. In summary, we identified 11 491 ORFs, with 5263 (45.80%) of them associated with proteins available in public databases. Moreover, we identified for the first time the repertoire of 11 243 ncRNAs belonging to different classes distributed along the genome. The accuracy of our predictions was verified by transcriptional evidence using RNA-seq, confirming that they are actually generating real transcripts. These data were organized in a public repository named LeishDB (www.leishdb.com), which represents an improvement on the publicly available data related to genomic annotation forL. braziliensis. This updated information can be useful for future genomics, transcriptomics and metabolomics studies; being an additional tool for genome annotation pipelines and novel studies associated with the understanding of this protozoan genome complexity, organization, biology, and development of innovative methodologies for disease control and diagnostics.Database URL:www.leishdb.com	2017-06-13	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbax047%2f3867745%2fLeishDB-a-database-of-coding-gene-annotation-and	https://academic.oup.com/database/article/3867745/LeishDB-a-database-of-coding-gene-annotation-and	10.1093/database/bax047	15614453,27688441,25941624,22714750,17572675,15279954,26615191,19843604,21670887,21152768,22336709,24776770,23217017,25970223,23557257,25764986,17071827,17189491,19033274,25392425,9149143,22102569,15144565,21306991,27105845,20110278,2231712,24008419,8292343,22388286,24838564,26673718,21062823,24695404,19289445,25260700,21324177,15781571,22955620,17386095,15608199,23624946,16381927,25352553,20013379,10592173,27337980,26582926,25429972,12230031,19570905	http://www.leishdb.com,http://www.leishdb.com,http://datasus.saude.gov.br,http://www.leishdb.com,http://integrativebioinformatics.me/structrnafinder/,http://www.mysql.com,https://github.com/fgtorres/LeishDB,https://github.com/viniciusmaracaja/LeishDB,http://leishdb.com/,http://www.leishdb.com,http://www.leishdb.com	https://badges.altmetric.com/?size=128&score=2&types=tttttttt	NULL	LeishDB	http://www.leishdb.com	database
20	20	MGIS: managing banana (Musaspp.) genetic resources information and high-throughput genotyping data	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	138	0.0	15	Database Oxford	Max Ruas,V. Guignon,G. Sempere,J. Sardos,Y. Hueber,H. Duvergey,A. Andrieu,R. Chase,C. Jenny,T. Hazekamp,B. Irish,K. Jelali,J. Adeka,T. Ayala-Silva,C.P. Chao,J. Daniells,B. Dowiya,B. Effa effa,L. Gueco,L. Herradura,L. Ibobondji,E. Kempenaers,J. Kilangi,S. Muhangi,P. Ngo Xuan,J. Paofa,C. Pavis,D. Thiemele,C. Tossou,J. Sandoval,A. Sutanto,G. Vangu Paka,G. Yi,I. Van den houwe,N. Roux,M. Rouard	NULL	Unraveling the genetic diversity held in genebanks on a large scale is underway, due to advances in Next-generation sequence (NGS) based technologies that produce high-density genetic markers for a large number of samples at low cost. Genebank users should be in a position to identify and select germplasm from the global genepool based on a combination of passport, genotypic and phenotypic data. To facilitate this, a new generation of information systems is being designed to efficiently handle data and link it with other external resources such as genome or breeding databases. TheMusaGermplasm Information System (MGIS), the database for globalex situ-held banana genetic resources, has been developed to address those needs in a user-friendly way. In developing MGIS, we selected a generic database schema (Chado), the robust content management system Drupal for the user interface, and Tripal, a set of Drupal modules which links the Chado schema to Drupal. MGIS allows germplasm collection examination, accession browsing, advanced search functions, and germplasm orders. Additionally, we developed unique graphical interfaces to compare accessions and to explore them based on their taxonomic information. Accession-based data has been enriched with publications, genotyping studies and associated genotyping datasets reporting on germplasm use. Finally, an interoperability layer has been implemented to facilitate the link with complementary databases like the Banana Genome Hub and the MusaBase breeding database.Database URL:https://www.crop-diversity.org/mgis/	2017-06-11	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbax046%2f3866796%2fMGIS-managing-banana-Musa-spp-genetic-resources	https://academic.oup.com/database/article/3866796/MGIS-managing-banana-Musa-spp-genetic-resources	10.1093/database/bax046	25414324,26432828,22110026,20864446,20040540,25428362,26989146,23823779,22314574,26151137,27267963,27200084,26584184,22801500,27590334,26984673,23707967,27267926,22517427,20956241,21959868,17646315,24225320,24203703,25432968,25392413,22285827,26040700,22934074	https://www.crop-diversity.org/mgis/,http://www.genesys-pgr.org,http://www.ars-grin.gov/npgs,http://www.fao.org/plant-treaty/areas-of-work/global-information-system/faq/en/,http://www.fao.org/plant-treaty/en/,http://www.musalit.org/,http://www.drupal.org/,http://www.drupal.org/project/tripal_mc,http://www.elastic.co/,http://www.drupal.org/project/search_api_elasticsearch,http://www.drupal.org/project/faceted_search,http://www.drupal.org/project/biblio,http://banana-genome-hub.southgreen.fr,http://sniplay.southgreen.fr,http://musabase.org,http://docs.brapi.apiary.io,http://www.crop-diversity.org/mgis/brapi/overview,http://www.drupal.org/project/brapi,http://www.genesys-pgr.org/wiews/BEL084,https://cgspace.cgiar.org/handle/10568/67158	https://badges.altmetric.com/?size=128&score=15&types=bttttttt	NULL	MGIS	https://www.crop-diversity.org/mgis/	NULL
22	22	NutriChem 2.0: exploring the effect of plant-based foods on human health and drug efficacy	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	71	0.0	0	Database Oxford	Yueqiong Ni,Kasper Jensen,Irene Kouskoumvekaki,Gianni Panagiotou	NULL	NutriChem is a database generated by text mining of 21 million MEDLINE abstracts that links plant-based foods with their small molecule components and human health effect. In this new, second release of NutriChem (NutriChem 2.0) we have integrated information on overlapping protein targets between FDA-approved drugs and small compounds in plant-based foods, which may have implications on drug pharmacokinetics and pharmacodynamics. NutriChem 2.0 contains predicted interactions between 428 drugs and 339 foods, supported by 107 jointly targeted proteins. Chemical bioactivity data were integrated, facilitating the comparison of activity concentrations between drugs and phytochemicals. In addition, we have added functionality that allows for user inspection of supporting evidence, the classification of food constituents based on KEGG “Phytochemical Compounds”, phytochemical structure output in SMILES and network output in both static figure and Cytoscape-compatible xgmml format. The current update of NutriChem moves one step further towards a more comprehensive assessment of dietary effects on human health and drug treatment.Database URL:http://sbb.hku.hk/services/NutriChem-2.0/	2017-06-11	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbax044%2f3867710%2fNutriChem-2-0-exploring-the-effect-of-plant-based	https://academic.oup.com/database/article/3867710/NutriChem-2-0-exploring-the-effect-of-plant-based	10.1093/database/bax044	24453957,26507230,26951041,27312865,25106869,18344215,17545920,22043389,25668218,24203711,26578601,22080554,24214965,14597658	http://sbb.hku.hk/services/NutriChem-2.0/,http://sbb.hku.hk/services/NutriChem-2.0,http://www.genome.jp/kegg-bin/get_htext?br08003.keg,http://www.drugbank.ca/drugs/DB00682,http://cytoscapeweb.cytoscape.org	NULL	NULL	NutriChem	http://sbb.hku.hk/services/NutriChem-2.0/	NULL
25	25	TIBLE: a web-based, freely accessible resource for small-molecule binding data for mycobacterial species	http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8,http://prodata.swmed.edu/CASP8/evaluation/Evaluation.htm,http://prodata.swmed.edu/CASP8/evaluation/seqmapping.html,http://prodata.swmed.edu/CASP8/evaluation/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation_human/DomainsAll.First.html,http://prodata.swmed.edu/CASP8/evaluation/DomainDefinition.htm,http://robetta.bakerlab.org/CASP8_eval/	DATABASE TOOL	54	0.0	2	Database Oxford	Sony Malhotra,Grace Mugumbate,Tom L. Blundell,Alicia P. Higueruelo	NULL	TIBLE is a web-based resource that provides easy access to data on the minimal inhibitory concentrations for small molecules against several mycobacterial species, as well as the target binding and off-target predictions forMycobacterium tuberculosis. The current version of the database holds the activity data for more than 19 000 distinct small molecules against 39 mycobacterial species, binding data for 106Mycobacterium tuberculosistarget proteins and predictions for their potential off-targets. The resource integrates disparate public data and methods to provide easy access to the minimum inhibitory concentration and binding data, facilitation of data sharing, and identification of small molecules and targets for development of anti-tuberculosis therapeutics.Database URL:http://www-cryst.bioc.cam.ac.uk/tible/	2017-06-11	https://scholar.google.com/scholar?q=related:https%3a%2f%2facademic.oup.com%2fdatabase%2farticle%2fdoi%2f10.1093%2fdatabase%2fbax041%2f3866794%2fTIBLE-a-web-based-freely-accessible-resource-for	https://academic.oup.com/database/article/3866794/TIBLE-a-web-based-freely-accessible-resource-for	10.1093/database/bax041	24203711,26400175,20567770,27884746,17145705,17947324,26130660,20488753,19209951,20980199,23658631,20980200,22116064,20198173,18274517,11420333,26091267,21292475,17154510,17287757,19881490,20430828,10592235,21079673,25975639,18930735,23240060,10708367	http://www-cryst.bioc.cam.ac.uk/tible/,http://www.bacterio.net/mycobacterium.html,https://www.ebi.ac.uk/chembl/,http://www-cryst.bioc.cam.ac.uk/tible/,https://www.ebi.ac.uk/chembl/,http://www.postgresql.org,http://www.sqlalchemy.org,http://flask.pocoo.org,http://twitter.github.com/bootstrap,http://chembl.blogspot.co.uk/2014/04/ligand-based-target-predictions-in.html,http://www.rdkit.org	https://badges.altmetric.com/?size=128&score=2&types=ttttgggg	NULL	TIBLE	http://www-cryst.bioc.cam.ac.uk/tible/	NULL
