	homepage	id_article	ids_related_articles	name_tool	abstract	citations_per_year	relative_views	id	closets_neighbor_1	closets_neighbor_2	closets_neighbor_3	closets_neighbor_4	similarity_neighbor_1	similarity_neighbor_2	similarity_neighbor_3	similarity_neighbor_4	x	y	z	closest_neighbors	x_2d	y_2d
0	http://www.probebase.net	1	NULL	probeBase	Ribosomal RNA-(rRNA)-targeted oligonucleotide probes are widely used for culture-independent identification of microorganisms in environmental and clinical samples. ProbeBase is a comprehensive database containing more than 700 published rRNA-targeted oligonucleotide probe sequences (status August 2002) with supporting bibliographic and biological annotation that can be accessed through the internet athttp://www.probebase.net. Each oligonucleotide probe entry contains information on target organisms, target molecule (small- or large-subunit rRNA) and position, G+C content, predicted melting temperature, molecular weight, necessity of competitor probes, and the reference that originally described the oligonucleotide probe, including a link to the respective abstract at PubMed. In addition, probes successfully used for fluorescencein situhybridization (FISH) are highlighted and the recommended hybridization conditions are listed. ProbeBase also offers difference alignments for 16S rRNA-targeted probes by using the probe match tool of the ARB software and the latest small-subunit rRNA ARB database (release June 2002). The option to directly submit probe sequences to the probe match tool of the Ribosomal Database Project II (RDP-II) further allows one to extract supplementary information on probe specificities. The two main features of probeBase, ‘search probeBase’ and ‘find probe set’, help researchers to find suitable, published oligonucleotide probes for microorganisms of interest or for rRNA gene sequences submitted by the user. Furthermore, the ‘search target site’ option provides guidance for the development of new FISH probes.	20.0	4	1	412	1051	93	792	0.416885725872	0.361901604645	0.302896627855	0.300666068523	-2.30147329443	2.21234702664	1.95352027545	NULL	-2.310755509	1.53835172938
2	http://molgen.biol.rug.nl/publication/comk_data/	3	NULL	ComK	Generally, the presence of a consensus sequence in the promoter of a gene is taken as indication for regulation by the transcription factor that binds to this sequence. In light of the recent developments in genome research, we were interested to what extent this supposition is valid. We examined the relationship between the presence of a binding site for ComK, the competence transcription factor ofBacillus subtilis, and actual transcriptional activation by ComK.Bacillus subtiliscontains 1062 putative ComK‐binding sites (K‐boxes) in its genome. We employed DNA macroarrays to identify ComK‐activated genes, and found that the presence of a K‐box is an unreliable predictor for regulation. Only ∼8% of the genes containing a K‐box in the putative promoter region are regulated by ComK. The predictive value of a K‐box could be improved by taking into consideration the degree of deviation from the K‐box consensus sequence, the presence of extra ComK‐binding motifs and the positions of RNA polymerase‐binding sites. Finally, many of the ComK‐activated genes show no apparent function related to the competence process. Based on our findings, we propose that the ComK‐dependent activation of several genes might serve no biological purpose and can be considered ‘evolutionary noise’.	5.0	4	2	240	108	255	17	0.136788855115	0.134959482322	0.1254862438	0.123173188926	-1.16571576738	-1.97753058258	-3.41330731404	NULL	-2.1545223253	3.23653012456
3	http://fasta.bioch.virginia.edu/crp	4	NULL	CRP	The CRP (Cleavage of Radiolabeled Phosphoproteins) program guides the design and interpretation of experiments to identify protein phosphorylation sites by Edman sequencing of unseparated peptides. Traditionally, phosphorylation sites are determined by cleaving the phosphoprotein and separating the peptides for Edman32P-phosphate release sequencing. CRP analysis of a phosphoprotein's sequence accelerates this process by omitting the separation step: given a protein sequence of interest, the CRP program performs anin silicoproteolytic cleavage of the sequence and reports the predicted Edman cycles in which radioactivity would be observed if a given serine, threonine or tyrosine were phosphorylated. Experimentally observed cycles containing32P can be compared with CRP predictions to confirm candidate sites and/or explore the ability of additional cleavage experiments to resolve remaining ambiguities. To reduce ambiguity, the phosphorylated residue (P-Tyr, P-Ser or P-Thr) can be determined experimentally, and CRP will ignore sites with alternative residues. CRP also provides simple predictions of likely phosphorylation sites using known kinase recognition motifs. The CRP interface is available athttp://fasta.bioch.virginia.edu/crp.	1.0	4	3	731	170	1949	476	0.173112168925	0.161527133077	0.143505174057	0.137499270155	-2.17121621977	0.974828356785	-1.83600380971	NULL	2.55041405467	0.191657445606
4	http://www.w3.org/TR/SOAP/	5	NULL	SOAP	A number of biological data resources (i.e. databases and data analytical tools) are searchable and usable on-line thanks to the internet and the World Wide Web (WWW) servers. The output from the web server is easy for us to browse. However, it is laborious and sometimes impossible for us to write a computer program that finds a useful data resource, sends a proper query and processes the output. It is a serious obstacle to the integration of distributed heterogeneous data resources. To solve the issue, we have implemented a SOAP (Simple Object Access Protocol) server and web services that provide aprogram-friendlyinterface. The web services are accessible athttp://www.xml.nig.ac.jp/.	1.0	4	4	444	908	909	906	0.176439734301	0.160848179822	0.156363609091	0.139319000097	2.49368659331	-1.41320621479	0.984749874939	NULL	2.39986440557	0.855510170981
5	http://blast.wustl.edu	6	NULL	WU-Blast2	Since 1995, the WU-BLAST programs (http://blast.wustl.edu) have provided a fast, flexible and reliable method for similarity searching of biological sequence databases. The software is in use at many locales and web sites. The European Bioinformatics Institute's WU-Blast2 (http://www.ebi.ac.uk/blast2/) server has been providing free access to these search services since 1997 and today supports many features that both enhance the usability and expand on the scope of the software.	6.0	4	5	1122	622	360	180	0.291949708636	0.266674560572	0.208779908677	0.17217838437	-0.35698363406	1.46615858353	-0.259397005031	NULL	0.514234446581	0.253253618241
7	http://www.embnet.org	8	NULL	EMBnet	EMBnet is a consortium of collaborating bioinformatics groups located mainly within Europe (http://www.embnet.org). Each member country is represented by a ‘node’, a group responsible for the maintenance of local services for their users (e.g. education, training, software, database distribution, technical support, helpdesk). Among these services a web portal with links and access to locally developed and maintained software is essential and different for each node. Our web portal targets biomedical scientists in Switzerland and elsewhere, offering them access to a collection of important sequence analysis tools mirrored from other sites or developed locally. We describe here the Swiss EMBnet node web site (http://www.ch.embnet.org), which presents a number of original services not available anywhere else.	1.0	4	6	909	179	522	1096	0.154547532562	0.149403976775	0.140848771541	0.132767669526	2.86602942501	-1.9750893014	0.636338725446	NULL	2.54621345194	0.809162625075
8	http://www.geneontology.org	9	NULL	Onto-Tools the toolkit of the modern biologist	Onto-Tools is a set of four seamlessly integrated databases: Onto-Express, Onto-Compare, Onto-Design and Onto-Translate. Onto-Express is able to automatically translate lists of genes found to be differentially regulated in a given condition into functional profiles characterizing the impact of the condition studied upon various biological processes and pathways. OE constructs functional profiles (using Gene Ontology terms) for the following categories: biochemical function, biological process, cellular role, cellular component, molecular function and chromosome location. Statistical significance values are calculated for each category. Once the initial exploratory analysis identified a number of relevant biological processes, specific mechanisms of interactions can be hypothesized for the conditions studied. Currently, many commercial arrays are available for the investigation of specific mechanisms. Each such array is characterized by a biological bias determined by the extent to which the genes present on the array represent specific pathways. Onto-Compare is a tool that allows efficient comparisons of any sets of commercial or custom arrays. Using Onto-Compare, a researcher can determine quickly which array, or set of arrays, covers best the hypotheses studied. In many situations, no commercial arrays are available for specific biological mechanisms. Onto-Design is a tool that allows the user to select genes that represent given functional categories. Onto-Translate allows the user to translate easily lists of accession numbers, UniGene clusters and Affymetrix probes into one another. All tools above are seamlessly integrated. The Onto-Tools are available online athttp://vortex.cs.wayne.edu/Projects.html.	17.0	4	7	203	306	820	20	0.422132788763	0.176334022436	0.164392634644	0.155387668038	-1.13196290388	-0.605654063239	2.28067800221	NULL	0.488771557942	-2.97966659533
9	http://sirw.embl.de/	10	NULL	SIRW	SIRW (http://sirw.embl.de/) is a World Wide Web interface to the Simple Indexing and Retrieval System (SIR) that is capable of parsing and indexing various flat file databases. In addition it provides a framework for doing sequence analysis (e.g. motif pattern searches) for selected biological sequences through keyword search. SIRW is an ideal tool for the bioinformatics community for searching as well as analyzing biological sequences of interest.	1.0	4	8	1874	1617	360	295	0.159529099176	0.117456987938	0.109126176861	0.104472951684	2.34630002875	-0.923641394553	-2.06928335037	NULL	1.13628884351	0.577213247597
10	http://blocks.fhcrc.org/codehop.html	11	NULL	CODEHOP	We have developed a new primer design strategy for PCR amplification of distantly related gene sequences based on consensus-degenerate hybrid oligonucleotide primers (CODEHOPs). An interactive program has been written to design CODEHOP PCR primers from conserved blocks of amino acids within multiply-aligned protein sequences. Each CODEHOP consists of a pool of related primers containing all possible nucleotide sequences encoding 3–4 highly conserved amino acids within a 3′ degenerate core. A longer 5′ non-degenerate clamp region contains the most probable nucleotide predicted for each flanking codon. CODEHOPs are used in PCR amplification to isolate distantly related sequences encoding the conserved amino acid sequence. The primer design software and the CODEHOP PCR strategy have been utilized for the identification and characterization of new gene orthologs and paralogs in different plant, animal and bacterial species. In addition, this approach has been successful in identifying new pathogen species. The CODEHOP designer (http://blocks.fhcrc.org/codehop.html) is linked to BlockMaker and the Multiple Alignment Processor within the Blocks Database World Wide Web (http://blocks.fhcrc.org).	18.0	4	9	162	1032	1333	1220	0.262150140954	0.236739822341	0.236537655444	0.233233531677	3.64942539102	-1.26860996714	-1.42405893566	NULL	-1.37855053258	-0.0962092052905
11	http://www.genoscope.cns.fr/agc/tools/amigene/index.html	12	NULL	AMIGene	AMIGene (Annotation of MIcrobial Genes) is an application for automatically identifying the most likely coding sequences (CDSs) in a large contig or a complete bacterial genome sequence. The first step in AMIGene is dedicated to the construction of Markov models that fit the input genomic data (i.e. the gene model), followed by the combination of well-known gene-finding methods and an heuristic approach for the selection of the most likely CDSs. The web interface allows the user to select one or several gene models applied to the analysis of the input sequence by the AMIGene program and to visualize the list of predicted CDSs graphically and in a downloadable text format. The AMIGene web site is accessible at the following address:http://www.genoscope.cns.fr/agc/tools/amigene/index.html(Contact:sbocs@genoscope.cns.fr).	6.0	4	10	422	101	367	1785	0.199952458893	0.162798159614	0.148125747225	0.143671691518	0.943661785729	-1.37882131777	0.139756665392	NULL	0.851686195089	-1.35361533541
